"KEY","en","ro","po","ru","en-us"
"Followed","Followed","Urmărești","Obserwujesz","Подписан","Followed"
"Unfollowed","Unfollowed","Nu mai urmărești","Nie obserwujesz","Подписка прекращена","Unfollowed"
"added_close_friend","Added to my Close Friends List","Adăugat în lista Prieteni apropiați","Dodano do listy Bliskich znajomych","Добавлен в мой список близких друзей","Added to my Close Friends List"
"removed_close_friend","Removed from my Close Friends List","Șters din lista Prieteni apropiați","Usunięto z listy Bliskich znajomych","Удален из моего списка близких друзей","Removed from my Close Friends List"
"you_can_give_many_claps","You can clap as many times as you like, to show the author how much you liked their post","Poți aplauda ori de câte ori vrei, pentru a arăta autorului cât de mult ți-a plăcut postarea sa","Możesz dać tyle polubień, ile chcesz, aby pokazać autorowi, jak bardzo spodobał Ci się jego post","Можешь хлопать сколько угодно раз, чтобы показать автору, насколько тебе понравился его пост","You can clap as many times as you like, to show the author how much you liked their post"
"downloading_icloud","Downloading from icloud","Se descarcă din iCloud","Pobieranie z icloud","Скачивание из icloud","Downloading from icloud"
"want_cancel_post","Do you want to discard this post?","Dorești să anulezi crearea postării?","Czy chcesz usunąć ten post?","Хочешь удалить публикацию?","Do you want to discard this post?"
"tutorial_global_search","Here you can search for Parenting programs or episodes, posts or people in Parents","Aici poți căuta episoade sau programe de Parenting, postări sau persoane în Parents","Tutaj możesz wyszukiwać programy dla rodziców lub odcinki, posty lub osoby w sekcji Rodzice","Здесь можно искать программы или серии о воспитании, сообщения или людей в Parents.","You can search for Parenting programs or episodes, posts or people in Parents here"
"unfinished","In Progress","Nefinalizată","Niedokończone","Незакончено","In Progress"
"active","Active","Activă","Aktywny","Активный","Active"
"order_status","Order status","Status comandă","Status zamówienia","Статус заказа","Order status"
"see_transactions","See transactions","Vezi tranzacțiile","Zobacz transakcje","Посмотреть транзакции","See transactions"
"retry_payment","Retry payment","Reîncearcă plata","Ponów płatność","Повторить платеж","Retry payment"
"order_nr","Invoice No:","Factura nr:","Faktura nr:","№ счета:","Invoice No:"
"limit_choosing_images__zero","You can choose only %s images","Poți alege %s imagini","Możesz wybrać tylko tyle zdjęć: %s","Можно выбрать %s изображений","You can choose only %s images"
"limit_choosing_images__one","You can choose only %s images","Poți alege doar %s imagine","Możesz wybrać tylko tyle zdjęć: %s","Можно выбрать %s фотографий","You can choose only %s images"
"limit_choosing_images__two","You can choose only %s images","Poți alege doar %s imagini","Możesz wybrać tylko tyle zdjęć: %s","Можно выбрать %s фотографии","You can choose only %s images"
"limit_choosing_images__few","You can choose only %s images","Poți alege doar %s imagini","Możesz wybrać tylko tyle zdjęć: %s","Можно выбрать %s фотографий","You can choose only %s images"
"limit_choosing_images__many","You can choose only %s images","Poți alege doar %s imagini","Możesz wybrać tylko tyle zdjęć: %s","Можно выбрать %s фотографий","You can choose only %s images"
"limit_choosing_images__other","You can choose only %s images","Poți alege doar %s de imagini","Możesz wybrać tylko tyle zdjęć: %s","Можно выбрать %s фотографии","You can choose only %s images"
"limit_choosing_videos__zero","You can choose only %s videos","Poți alege %s filmări","Możesz wybrać tylko tyle filmów: %s","Можно выбрать %s видео","You can choose only %s videos"
"limit_choosing_videos__one","You can choose only %s videos","Poți alege doar %s filmare","Możesz wybrać tylko tyle filmów: %s","Можно выбрать только %s видео","You can choose only %s videos"
"limit_choosing_videos__two","You can choose only %s videos","Poți alege doar %s filmări","Możesz wybrać tylko tyle filmów: %s","Можно выбрать только %s видео","You can choose only %s videos"
"limit_choosing_videos__few","You can choose only %s videos","Poți alege doar %s filmări","Możesz wybrać tylko tyle filmów: %s","Можно выбрать только %s видео","You can choose only %s videos"
"limit_choosing_videos__many","You can choose only %s videos","Poți alege doar %s filmări","Możesz wybrać tylko tyle filmów: %s","Можно выбрать только %s видео","You can choose only %s videos"
"limit_choosing_videos__other","You can choose only %s videos","Poți alege doar %s de filmări","Możesz wybrać tylko tyle filmów: %s","Можно выбрать только %s видео","You can choose only %s videos"
"wait_until_media_uploaded","Uploading your media","Se încarcă fișierul","Przesyłanie multimediów","Загрузка медиа-файла","Uploading your media"
"up_next","Up Next","Urmează","Następnie","Следующий","Up Next"
"Followers","Followers","Urmăritori","Obserwujący","Подписчики","Followers"
"my_family","My Family","Familia mea","Moja rodzina","Моя семья","My Family"
"no_posts_yet","No posts yet","Nu sunt postări","Nie ma jeszcze postów","Нет публикаций","No posts yet"
"follow_and_add_close_friends","Follow and add to Close Friends List","Urmărește și Adaugă în lista Prieteni apropiați","Obserwuj i dodaj do listy Bliskich znajomych","Подпишись и Добавь в список близких Друзей","Follow and add to Close Friends List"
"you_will_see_their_posts","You'll see their posts and comments first in your Community feed.","Vei vedea postările și comentariile sale primele în Comunitate.","Zobaczysz ich posty i komentarze w Społeczności jako pierwsze","Ты увидишь первыми их посты и комментарии в Группе.","You'll see their posts and comments first in your Community feed."
"restrict","Restrict","Restricționează","Ogranicz","Ограничить","Restrict"
"share_first_post_and_appear","Share your first post and it will appear on your profile.","Adaugă prima ta postare și ea va apărea în profilul tău.","Dodaj swój pierwszy post, a pojawi się na Twoim profilu.","Поделись своей первой публикацией, и она появится в твоем профиле.","Share your first post and it will appear on your profile."
"limit_unwanted_interactions","Limit unwanted interactions.","Limitează interacțiunile nedorite.","Ogranicz niechciane interakcje.","Ограничь нежелательные взаимодействия.","Limit unwanted interactions."
"this_person_not_able_see","This person will not be able to see your posts and comments","Această persoană nu va putea vedea postările și comentariile tale","Ta osoba nie będzie mogła zobaczyć Twoich postów i komentarzy","Этот человек не сможет видеть твои посты и комментарии","This person will not be able to see your posts and comments"
"retrict_account","Restrict Account","Restricționează contul","Ogranicz konto","Ограничь аккаунт","Restrict Account"
"delete_this_post","Are you sure you want to delete this post?","Sigur vrei să ștergi această postare?","Czy na pewno chcesz usunąć ten post?","Ты уверен, что хочешь это удалить этот пост?","Are you sure you want to delete this post?"
"click_button_to_choose","Tap the button below to choose the right payment plan for you and enroll in this program.","Apasă butonul de mai jos pentru a alege oferta care ți se potrivește și a te înscrie în acest program.","Kliknij w poniższy przycisk, aby wybrać odpowiedni plan płatności i zapisać się do programu.","Нажми кнопку ниже, чтобы выбрать план оплаты и зарегистрироваться в программе.","Tap the button below to choose the right payment plan for you and enroll in this program."
"dont_have_access_program","You are not enrolled in this program","Nu ești înscris în acest program.","Nie jesteś zarejestrowana(-ny) w programie","Ты не записался на эту программу.","You are not enrolled in this program"
"profile_unavailable","This profile is unavailable","Acest profil nu este disponibil","Ten profil jest niedostępny","Профиль заблокирован.","This profile is unavailable"
"unrestrict","Unrestrict","Anulează restricția","Anuluj ograniczenie","Отмени ограничение","Unrestrict"
"you_restricted_user_no_posts","You restricted this user and you can't see their posts.","Ai restricționat acest utilizator și nu îi poți vedea postările.","Ograniczyłaś(-łeś) tego użytkownika i nie możesz oglądać jego postów.","Ты ограничил этого пользователя и не можешь видеть его посты.","You restricted this user and you can't see their posts."
"no_posts_profile_restrited_you","You cant see this user's posts.","Nu poți vedea postările acestui utilizator.","Nie możesz zobaczyć postów tego użytkownika.
 ","Ты не можешь видеть публикации этого пользователя.","You cant see this user's posts."
"you_restricted_user","Account restricted","Cont restricționat","Konto ograniczone","Аккаунт ограничен","Account restricted"
"you_unrestricted_user","Account Unrestricted","Restricția a fost anulată","Ograniczenie konta zostało anulowane","Ограничение отменено","Account Unrestricted"
"message_dont_see_post","You will not see this user's posts and comments in the Community feed anymore.","Nu vei mai vedea postările și comentariile acestui utilizator în Comunitate.","Nie będziesz już widzieć w Społeczności postów i komentarzy tego użytkownika.","Ты больше не увидишь посты и комментарии этого пользователя в Группе.","You will not see this user's posts and comments in the Community feed anymore."
"video_settings","Video settings","Setări video","Ustawienia wideo","Настройки видео","Video settings"
"subtitles","Subtitles","Subtitrări","Napisy","Субтитры","Subtitles"
"auto_play_next","AutoPlay next episode","Redă automat episodul următor","Automatyczne odtwórz następny odcinek","Автозапуск следующей серии","AutoPlay next episode"
"close_friends","Close Friends","Prieteni apropiați","Bliscy znajomi","Близкие друзья","Close Friends"
"followers_following","Followers/Following","Urmăritori/Urmărești","Obserwujący/Obserwowani","Подписчики/Подписки","Followers/Following"
"add_children","Add child","Adaugă copil","Dodaj dziecko","Добавь детей","Add child"
"hour","Hour","Ora","Godzina","Время","Hour"
"bio","Bio/Description","Descriere","Opis","Описание","Bio/Description"
"select_hour","Select hour","Alege ora","Wybierz godzinę","Выбери время","Select hour"
"more_people_parents","More people on Parents","Mai multe persoane din Parents","Więcej osób w Parents","Больше людей в Parents","More people on Parents"
"no_close_friends","You haven't added any Close Friends yet","Nu ai adăugat niciun Prieten apropiat încă","Nie dodałaś(-łeś) jeszcze Bliskich znajomych","Ты еще не добавил близких друзей","You haven't added any Close Friends yet"
"no_following","You're not following anyone","Nu urmărești pe nimeni","Nie obserwujesz nikogo","Ты ни на кого не подписан","You're not following anyone"
"no_followers","You have no Followers","Nu ai urmăritori","Nie masz obserwujących","У тебя нет подписчиков","You have no Followers"
"count_followers__zero","You have no Followers","Nu ai urmăritori","Brak obserwujących","Нет подписчиков ","You have no Followers"
"count_followers__one","1 Follower","1 Urmăritor","1 obserwujący","Один подписчик","1 Follower"
"count_followers__two","2 Followers","2 Urmăritori","2 obserwujących","Два подписчика","2 Followers"
"count_followers__few","%s Followers","%s Urmăritori","%s obserwujących","%s  подписчиков ","%s Followers"
"count_followers__many","%s Followers","%s Urmăritori","%s obserwujących","%s подписчиков ","%s Followers"
"count_followers__other","%s Followers","%s Urmăritori","%s obserwujących","%s подписчики","%s Followers"
"count_following__zero","%s Urmăritori","%s Urmărești","Brak obserwowanych","нет подписанных","%s Urmăritori"
"count_following__one","%s Urmăritori","1 Urmărești","1 obserwowany","1 подписанный","%s Urmăritori"
"count_following__two","%s Urmăritori","2 Urmărești","2 obserwowanych","2 подписанных","%s Urmăritori"
"count_following__few","%s Urmăritori","%s Urmărești","%s obserwowanych","%s подписанных","%s Urmăritori"
"count_following__many","%s Urmăritori","%s Urmărești","%s obserwowanych","%s подписанных","%s Urmăritori"
"count_following__other","%s Urmăritori","%s Urmărești","%s obserwowanych","%s подписанные","%s Urmăritori"
"why_want_report_comment","Why do you want to report this comment?","De ce vrei să raportezi acest comentariu?","Dlaczego chcesz zgłosić ten komentarz?","Почему ты хочешь пожаловаться на этот комментарий?","Why do you want to report this comment?"
"this_report_comment_sent_anonim","The comment author will not know you reported their comment","Autorul comentariului nu va ști că ai raportat comentariul","Autor komentarza nie dowie się, że go zgłosiłaś(-łeś)","Автор не узнает, что ты пожаловался на его комментарий","The comment's author will not know you reported their comment"
"programs_audio","Audiobooks","Cărți audio","Audiobooki","Аудиокниги","Audiobooks"
"notification_liked_comment","reacted to your comment","a reacționat la comentariul tău","zareagował(a) na Twój komentarz","среагировал на твой комментарий.","reacted to your comment"
"copy","Copy","Copiază","Kopiuj","Копировать","Copy"
"report","Report","Raportează","Zgłoś","Пожаловаться","Report"
"see_original","See original","Vezi originalul","Zobacz oryginał","Смотреть оригинал","See original"
"see_translation","See translation","Vezi traducerea","Zobacz tłumaczenie","Смотреть перевод","See translation"
"no_address__addcard","Before adding a card, please add your billing address in the Billing details section.","Înainte de a adăuga un card, te rog să adaugi adresa de facturare în secțiunea Detalii de facturare.","Zanim dodasz kartę, podaj adres do faktury w sekcji Dane do faktury","Перед тем, как добавить карту, введи свой платежный адрес в разделе «Платежные реквизиты».","Before adding a card, please add your billing address in the Billing details section."
"add_address","Add address","Adaugă adresa","Dodaj adres","Добавь адрес","Add address"
"loading_translation","Loading","Se încarcă","Ładowanie","Загрузка","Loading"
"no_user_feed","There are no results for this user","Nu sunt rezultate pentru acest utilizator","Brak wyników dla tego użytkownika","Нет результатов об этом пользователе","There are no results for this user"
"will_no_see_user_posts","You will not see this user's posts in the Community feed anymore.","Nu vei mai vedea postarile acestui user în Comunitate.","Nie zobaczysz już postów tego użytkownika w Społeczności","Ты больше не увидишь публикаций этого пользователя в Группе.","You will not see this user's posts in the Community feed anymore."
"edit_role_family","Edit role in My Family","Editează rol în Familia mea","Zmień rolę w sekcji Moja rodzina","Измени роль в своей Семье","Edit role in My Family"
"please_select_at_least_option","To add a post please select Community, Family or both","Pentru a adăuga o postare, te rog alege Comunitate, Familie sau ambele","Aby dodać post, wybierz sekcję Społeczność, Rodzina lub obie","Чтобы добавить публикацию, выбери Группу, Семью или обеих","To add a post please select Community, Family or both"
"my_Followings","Following","Urmărești","Obserwujesz","Подписки
","Following"
"Following","Following","Urmărește","Obserwuj","Подписки
","Following"
"sure_unfollow_user","Are you sure you want to Unfollow this user?","Sigur vrei să nu mai urmărești acest utilizator?","Czy na pewno nie chcesz już obserwować tego użytkownika?","Ты уверен, что хочешь отписаться от этого пользователя?","Are you sure you want to Unfollow this user?"
"view_all_comments__zero","No comments","Nu sunt comentarii","Brak komentarzy","Нет комментариев","No comments"
"view_all_comments__one","View all %s comments","Vezi %s comentariu","Zobacz %s komentarz","Просмотреть %s комментариев","View all %s comments"
"view_all_comments__two","View all %s comments","Vezi %s comentarii","Zobacz %s komentarze","Просмотреть %s комментария","View all %s comments"
"view_all_comments__few","View all %s comments","Vezi %s comentarii","Zobacz %s komentarze","Просмотреть %s комментариев","View all %s comments"
"view_all_comments__many","View all %s comments","Vezi %s comentarii","Zobacz %s komentarzy","Просмотреть %s комментариев","View all %s comments"
"view_all_comments__other","View all %s comments","Vezi %s de comentarii","Zobacz %s komentarze","Просмотреть %s комментарии","View all %s comments"
"chats","Chats","Conversații","Czat","Чаты","Chats"
"you_have_no_chats","You have no chats. Start your first conversation!","Nu ai conversații. Începe prima ta conversație!","Nie masz czatów. Zacznij pierwszą rozmowę!","У тебя нет чатов Начни свой первый чат!","You have no chats. Start your first conversation!"
"archive","Archive","Arhivează","Archiwizuj","Архивировать","Archive"
"block","BLOCK","BLOCHEAZĂ","ZABLOKUJ","БЛОКИРОВАТЬ","BLOCK"
"family_history","Family History","Istoric Familie","Historia Rodziny","История семьи","Family History"
"archived_chats","Archived Chats","Conversații Arhivate","Zarchiwizowane czaty","Архивированные чаты","Archived Chats"
"if_you_reply_user_will_be_able_to_write_you","If you reply %s will be able to write to you in this chat and see info such as when you've seen messages.","Dacă răspunzi, %s va putea să îți scrie în această conversație.","Jeśli odpowiesz,%s będzie mogła/mógł napisać do Ciebie na tym czacie i zobaczyć informacje, np. kiedy odczytałaś(-łeś) wiadomości. ","Если ты ответишь,%s сможет написать тебе в этом чате.","If you reply %s will be able to write to you in this chat and see info such as when you've seen messages."
"all_messages_are_secured_and_protected","All messages are secured and protected. No one outside of this chat can read them.","Toate mesajele sunt securizate si protejate. Nimeni din afara acestei conversații nu le poate citi.","Wszystkie wiadomości są zabezpieczone i chronione.Nikt poza tym czatem nie może ich przeczytać. ","Все сообщения надежно защищены. Никто вне этого чата не может их прочитать.","All messages are secured and protected. No one outside of this chat can read them."
"January","January","Ianuarie","Styczeń","Январь","January"
"February","February","Februarie","Luty","Февраль","February"
"March","March","Martie","Marzec","Март","March"
"April","April","Aprilie","Kwiecień","Апрель","April"
"May","May","Mai","Maj","Май","May"
"June","June","Iunie","Czerwiec","Июнь","June"
"July","July","Iulie","Lipiec","Июль","July"
"August","August","August","Sierpień","Август","August"
"September","September","Septembrie","Wrzesień","Сентябрь","September"
"October","October","Octombrie","Październik","Октябрь","October"
"November","November","Noiembrie","Listopad","Ноябрь","November"
"December","December","Decembrie","Grudzień","Декабрь","December"
"select_one_member_least","Select at least one member","Alege cel puțin un membru","Wybierz co najmniej jednego uczestnika","Выбери хотя бы одного участника","Select at least one member"
"new_chat","New Chat","Conversație nouă","Nowy czat","Новый чат","New Chat"
"frequently_contacted","Frequently Contacted","Contactate frecvent","Często w kontakcie","Часто в контакте","Frequently Contacted"
"you_were_added_by_someone","You were added by someone who's not in your Family or Close Friends list","Te-a adăugat cineva care nu este în Familia ta sau în lista de Prieteni apropiați","Ktoś, kto nie jest członkiem Twojej Rodziny, dodał Cię do listy Bliskich znajomych","Кто-то, кого нет в списке твоей Семьи или близких Друзей, добавил тебя","You were added by someone who's not in your Family or Close Friends list"
"report_group","REPORT GROUP","RAPORTEAZĂ GRUP","ZGŁOŚ GRUPĘ","ПОЖАЛОВАТЬСЯ НА ГРУППУ","REPORT GROUP"
"leave_chat","Leave chat","Părăsește conversația","Opuść rozmowę","Выйти из чата","Leave chat"
"un_archive","Unarchive","Dezarhivează","Przywróć z Archiwum","Разархивировать","Unarchive"
"archived","Archived","Arhivat","Zarchiwizowane","Архивирован","Archived"
"you_have_no_archived_chats","You have no Archived Chats.","Nu ai Conversatii arhivate.","Nie masz zarchiwizowanych czatów.","У тебя нет архивированных чатов","You have no Archived Chats."
"chat_details","Chat Details","Detalii Conversații","Szczegóły rozmowy","Детали чата","Chat Details"
"add_participants","Add Participants","Adaugă participanți","Dodaj uczestników","Добавить участников","Add Participants"
"view_profile","View Profile","Vezi Profil","Zobacz profil","Смотреть профиль","View Profile"
"remove_from_chat","Remove from group","Elimină din grup","Usuń z grupy","Удалить из группы","Remove from group"
"send_private_message","Send private message","Trimite mesaj privat","Wyślij wiadomość prywatną","Отправить личное сообщение","Send private message"
"make_group_admin","Make group Admin","Numește Admin","Ustaw administratora","Назвать администратором","Make group Admin"
"is_typing","%s is typing","%s scrie","%s pisze","%s писать","%s is typing"
"user_create_group","%s created the group","%s a creat grupul","%s utworzył(a) grupę","%s создал группу","%s created the group"
"user_added_member","%s added %s","%s a adăugat pe %s","%s dodał(a) %s","%s добавил %s","%s added %s"
"user_exited_from_group","%s exited from group","%s a ieșit din grup","%s opuścił(a) grupę","%s вышел из группы","%s exited from group"
"owner_deleted_user_from_group","%s deleted %s from group","%s a șters pe %s din grup","%s usunęła(-nął) użytkownika %s z grupy","%s удалил %s из группы","%s deleted %s from group"
"pictures_and_video","Pictures and Videos","Poze și Filmări","Zdjęcia i filmy","Фото и Видео","Pictures and Videos"
"mute_chat","Mute chat","Opriți notificările conversației","Wycisz czat","Отключить уведомления чата","Mute chat"
"why_want_report_conversation","Why do you want to report this chat?","De ce vrei să raportezi această conversație?","Dlaczego chcesz zgłosić tę rozmowę?","Почему ты хочешь пожаловаться на этот Чат?","Why do you want to report this chat?"
"this_report_conv_sent_anonim","The chat members will not know you reported this chat","Membrii conversației nu vor ști că ai raportat conversația","Członkowie rozmowy nie dowiedzą się, że zgłosiłaś(-łeś) rozmowę","Участники чата не узнают, что ты пожаловался на этот чат","The chat members will not know you reported this chat"
"write_message","Write message","Scrie mesaj","Napisz wiadomość","Написать сообщение","Write message"
"change_chat_name","Change Group name","Schimbă numele Grupului","Zmień nazwę Grupy","Поменять название Группы","Change Group name"
"sound_off_default","Sound off by default","Sunet oprit implicit","Domyślnie dźwięk wyłączony","Звук отключен по умолчанию","Sound off by default"
"welcome","Welcome","Bun venit","Witaj","Добро пожаловать","Welcome"
"moments","Moments","Moments","Chwile","Моменты","Moments"
"have_an_invite_link","Have an invite link? Sign Up","Ai un link de invitație? Creează cont","Masz link z zaproszeniem? Zarejestruj się","Есть ссылка для приглашения? Регистрируйся","Have an invite link? Sign Up"
"use_email_and_password","Authenticate using the email and password you used while creating your account","Introdu mail-ul și parola folosite la creare contului, pentru a te autentifica","Wpisz adres e-mail i hasło użyte podczas tworzenia konta, aby się zalogować","Используй емайл и пароль, которые использовались для создания аккаунта во время регистрации.","Authenticate using the email and password you used while creating your account"
"account_was_created","Your account was created. Let's set up your profile","Contul tău a fost creat. Setează-ți profilul","Konto zostało utworzone. Ustaw swój profil","Твой аккаунт создан. Давай настроим твой профиль","Your account was created. Let's set up your profile"
"now_add_photo","Great! Now add a photo?","Minunat! Vrei să adaugi o poză?","Świetnie! Chcesz dodać zdjęcie?","Прекрасно! Добавить фото?","Great! Now add a photo?"
"pick_a_role","Pick a role","Alege un rol","Wybierz rolę","Выбери роль","Pick a role"
"looks_good","Looks good","Arată bine","Wygląda dobrze","Выглядит хорошо","Looks good"
"add_another_child","Add another child","Adaugă încă un copil","Dodaj kolejne dziecko","Добавь другого ребенка","Add another child"
"add_information_about_children","Add some information about your children","Adaugă informații despre copiii tăi","Dodaj informacje o dzieciach","Добавь информацию о своих детях","Add some information about your children"
"enter_phone_number","Enter your phone number","Introdu numărul tău de telefon","Dodaj numer telefonu","Введи свой номер телефона","Enter your phone number"
"enter_verification_code","Enter the SMS code we just sent you","Introdu codul primit prin SMS","Wprowadź kod, który Ci przesłaliśmy","Введи код, который мы тебе отправили","Enter the SMS code we just sent you"
"resend_code","Didn't receive it? Tap to resend","Nu ai primit codul? Apasă aici ca să-l retrimiți","Nie otrzymałaś(-łeś) kodu? Kliknij, aby wysłać ponownie","Не получил? Нажми, чтобы отправить повторно","Didn't receive it? Tap to resend"
"invite_other_people","Invite other people on Parents","Invită alți oameni în Parents","Zaproś kogoś do Parents","Пригласи других людей в Parents","Invite other people on Parents"
"you_have_n_invites__zero","You have %s invites","Ai %s invitații","Masz %s zaproszonych","У тебя %s приглашений","You have %s invites"
"you_have_n_invites__one","You have %s invite","Ai %s invitație","Masz %s zaproszonego","У тебя %s приглашение","You have %s invite"
"you_have_n_invites__two","You have %s invites","Ai %s invitații","Masz %s zaproszonych","У тебя %s приглашения","You have %s invites"
"you_have_n_invites__few","You have %s invites","Ai %s invitații","Masz %s zaproszonych","У тебя %s приглашений","You have %s invites"
"you_have_n_invites__many","You have %s invites","Ai %s invitații","Masz %s zaproszonych","У тебя %s приглашений","You have %s invites"
"you_have_n_invites__other","You have %s invites","Ai %s de invitații","Masz %s zaproszonych","У тебя %s приглашения","You have %s invites"
"last_important_step","Last, important step!","Ultimul pas, important!","Ostatni, ale ważny krok!","Последний важный шаг!","Last, important step!"
"allow_access_to_contacts","Allow access to contacts and Invite other people on Parents","Permite accesul la contacte și invită alți oameni în Parents","Zezwól na dostęp do kontaktów i zaproś inne osoby do Parents","Разреши доступ к контактам и пригласи других людей в Parents","Allow access to contacts and Invite other people on Parents"
"already_have_account","Already have an account? Sign In","Deja ai un cont? Loghează-te","Masz już konto? Zaloguj się","У тебя уже есть аккаунт? Войди","Already have an account? Sign In"
"You","You","Tu","Ty","Ты","You"
"change_profile_photo","Change profile photo","Schimbă poza de profil","Zmień zdjęcie profilowe","Смени фото профиля","Change profile photo"
"delete_profile_photo","Delete profile photo","Șterge poza de profil","Usuń zdjęcie profilowe","Удали фото профиля","Delete profile photo"
"why_want_report_user","Why do you want to report this user?","De ce vrei să raportezi aceast utlizator?","Dlaczego chcesz zgłosić tego użytkownika?","Почему ты хочешь пожаловаться на этого пользователя?","Why do you want to report this user?"
"this_report__user_sent_anonim","This person will not know you reported them","Utilizatorul nu va ști că l-ai raportat","Użytkownik nie dowie się o Twoim zgłoszeniu","Пользователь не узнает, что ты о нем сообщил","This person will not know you reported them"
"write_hand","Handwriting helps us rememeber information easier, so I invite you to fill out the information directly in the Parenting Playbook","Scrisul de mână ne ajuta să reținem informația mai ușor, așa că te invit să completezi exercițiile direct în agendă","Odręczne notatki pomagają nam lepiej zapamiętywać informacje, dlatego zachęcamy Cię do wypełnienia ćwiczeń w Dzienniku","Рукописание помогает нам легче запоминать информацию, поэтому я предлагаю выполнять упражнения прямо в Дневнике родителя.","Handwriting helps us rememeber information easier, so I invite you to fill out the information directly in the Parenting Playbook"
"complete_exercices","Fill out the exercises in the Parenting Playbook","Completează exercițiile în Agenda de Parenting","Wykonaj ćwiczenia  w Dzienniku rodzica","Выполняй упражнения прямо в Дневнике родителя..","Fill out the exercises in the Parenting Playbook"
"dont_show_message","Don't show this message again","Nu mai afișa acest mesaj","Nie wyświetlaj ponownie tej wiadomości","Больше не показывать это сообщение","Don't show this message again"
"no_family_members","You haven't added any members in your Family","Încă nu ai adăugat pe nimeni în Familia ta","Nie dodałaś(-łeś) żadnych członków rodziny","Ты не добавил ни одного члена в свою Семью","You haven't added any members in your Family"
"already_invited","Already invited","Deja invitat","Jest już zaproszona(-ny)","Уже приглашен","Already invited"
"send_reminder","Send reminder","Retrimite mesaj","Wyślij przypomnienie","Отправить напоминание","Send reminder"
"add_in_my_family","Add to My Family","Adaugă în Familia mea","Dodaj do sekcji Moja rodzina","Добавить в Мою семью","Add to My Family"
"items_selected__zero","No items selected","Niciun fișier selectat","Brak elementów","Ничего не выбрано","No items selected"
"items_selected__one","%s item selected","%s fișier selectat","%s wybrany element","%s файл выбран","%s item selected"
"items_selected__two","%s items selected","%s fișiere selectate","%s wybrane elementy","%s файла выбраны","%s items selected"
"items_selected__few","%s items selected","%s fișiere selectate","%s wybrane elementy","%s файлов выбраны","%s items selected"
"items_selected__many","%s items selected","%s fișiere selectate","%s wybranych elementów","%s файлов выбраны","%s items selected"
"items_selected__other","%s items selected","%s de fișiere selectate","%s wybrane elementy","%s файлы выбраны","%s items selected"
"no_media_in_chat","No media in this chat","Nu sunt fișiere media în această conversație","Brak multimediów w tym czacie","В этом чате нет медий","No media in this chat"
"joined","Joined","deja în Parents","Już dołączył(a)","Присоединился","Joined"
"who_is_potential_addition","Who's a great potential addition to Parents?","Cine ar fi o persoană potrivită pentru Parents?","Kto byłby wspaniałym towarzyszem w Parents?","Кто может стать большим дополнением к Родителям?","Who's a great potential addition to Parents?"
"follow_add_to_family","Follow and Add to my Family","Urmărește și Adaugă în Familia mea","Obserwuj i dodaj do sekcji Moja rodzina","Подписаться и Добавить в Свою семью
","Follow and Add to my Family"
"count_messages_of","%s of %s","%s din %s","%s z %s","%s из %s","%s of %s"
"no_matches","No matches","Niciun rezultat","Brak wyników","Нет подходящих","No matches"
"your_media_saving_to_journal","Media selected saving to your Moments","Fișierul media se salvează în Momentele tale","Wybrane multimedia są zapisywane w sekcji ""Chwile""","Выбранные фото сохраняются в папке Моменты","Media selected saving to your Moments"
"send_again","Send again","Retrimite","Wyślij ponownie","Отправь еще раз","Send again"
"you_have_no_invites","You have no invites left","Nu mai ai invitații","Nie masz więcej zaproszonych","У тебя не осталось приглашений","You have no invites left"
"see_pending_invites","See pending invites","Vezi invitații în așteptare","Zobacz oczekujących zaproszonych","Смотреть ожидающие приглашения","See pending invites"
"pending_invites","Pending invites","Invitații în așteptare","Oczekujący zaproszeni","Ожидающие приглашения","Pending invites"
"MOMMY_INVITE","Mum","Mamă","Mama","Мамочку","Mom"
"DADDY_INVITE","Dad","Tată","Tata","Папу","Dad"
"GRANDMA_INVITE","Grandma","Bunică","Babcia","Бабушку","Grandma"
"GRANDPA_INVITE","Grandpa","Bunic","Dziadek","Дедушку","Grandpa"
"BROTHER_INVITE","Brother","Frate","Brat","Брата","Brother"
"SISTER_INVITE","Sister","Soră","Siostra","Сестру","Sister"
"AUNT_INVITE","Aunt","Mătușă","Ciocia","Тетю","Aunt"
"UNCLE_INVITE","Uncle","Unchi","Wujek","Дядю","Uncle"
"GODFATHER_INVITE","Godfather","Naș","Ojciec chrzestny","Крестного отца","Godfather"
"GODMOTHER_INVITE","Godmother","Nașă","Matka chrzestna","Крестную мать","Godmother"
"NANNY_INVITE","Nanny","Bonă","Opiekunka","Няню","Nanny"
"Friend_INVITE","Friend","Prieten","Przyjaciel","Друга","Friend"
"step_parent_invite","Step-parent","Părinte bonus","Przybrany rodzic","Неродной родитель","Step-parent"
"foster_parent_invite","Foster-parent","Părinte adoptiv","Rodzic adopcyjny","Приемный родитель","Foster-parent"
"next_episode","Next episode","Episodul următor","Następny odcinek","Следующий эпизод","Next episode"
"go_to_settings_permissions","Go to Settings","Mergi la Setări","Przejdź do Ustawień","Перейти к настройкам","Go to Settings"
"mark_all_read","Mark all as read","Marchează toate ca citite","Oznacz wszystko jako przeczytane","Отметить все как прочитанное","Mark all as read"
